open_price,high_price,low_price,noof_shares,close_price,predicted_close_price
4080.0,4165.0,4071.5,5390,4144.5,
17510.0,17750.0,17450.0,4951,17529.0,
6255.0,6346.0,6026.15,2588,6098.85,
6610.0,6634.95,6565.0,1176,6607.5,
11500.0,11704.0,11487.0,3793,11691.55,
6569.25,6569.25,6455.0,1869,6478.95,
11681.0,11692.95,11466.2,992,11483.8,
4900.0,4948.0,4845.0,7522,4883.35,
5935.0,5951.9,5860.0,9314,5872.65,
17799.0,17799.0,17236.75,3715,17443.6,
17972.45,18175.0,17896.4,5327,18053.5,
5249.0,5296.75,5186.25,2598,5228.1,
6988.35,7130.0,6929.0,2263,7106.05,
4249.95,4290.0,4227.0,1101,4236.7,
7329.9,7332.65,7233.1,676,7257.0,
5082.5,5114.0,5042.25,3486,5070.35,
6249.0,6300.8,6199.95,4820,6296.3,
6626.05,6652.8,6615.2,1050,6634.65,
6309.95,6309.95,6205.0,968,6228.65,
5163.4,5250.0,5152.0,2497,5236.95,
4462.0,4508.0,4460.0,13009,4493.9,
17650.0,17726.6,17625.2,1549,17673.8,
6335.0,6350.0,6175.0,5442,6209.05,
7131.75,7238.05,7070.1,1794,7155.0,
4350.0,4442.0,4350.0,4054,4410.4,
16600.0,16850.0,16202.1,13273,16248.35,
4400.0,4443.95,4377.0,1562,4408.55,
10485.0,10650.0,10400.0,9323,10521.85,
5206.0,5225.0,5177.0,1243,5208.15,
16405.15,16836.7,16405.15,3226,16774.45,
8944.0,9017.65,8809.4,5447,8823.3,
4940.0,4942.35,4718.15,12356,4731.3,
17600.0,17800.0,17500.0,1969,17765.5,
6849.85,6989.5,6842.7,3173,6908.2,
14756.0,14756.0,14526.05,23054,14596.95,
16482.05,16482.05,16266.75,4445,16290.5,
6100.0,6101.9,6051.0,2621,6068.75,
8755.0,9035.0,8755.0,8689,9015.95,
7880.0,7900.0,7831.0,1724,7851.2,
5876.0,5876.0,5499.0,62024,5539.8,
14244.0,14372.85,14015.0,1445,14313.8,
6149.0,6230.0,6116.6,3687,6204.9,
5287.0,5315.0,5223.05,2493,5238.3,
4139.0,4160.0,4080.0,1530,4093.4,
5045.0,5049.0,4845.0,3800,4972.35,
5540.0,5640.0,5540.0,1873,5630.95,
11531.25,11729.75,11407.0,959,11671.7,
4579.95,4613.0,4530.0,1204,4544.7,
10350.0,10407.35,10090.25,11866,10168.85,
16689.0,16840.85,16689.0,2379,16800.8,
4850.0,4879.85,4806.2,352,4820.7,
6810.0,6851.05,6774.0,659,6815.5,
6400.0,6509.4,6400.0,14071,6453.55,
4733.0,4761.0,4701.1,722,4702.85,
17396.9,17439.3,17083.8,3341,17167.7,
14211.0,14240.7,14040.0,4810,14096.3,
7661.0,7674.0,7572.05,2186,7591.6,
6345.0,6352.6,6200.0,823,6235.8,
7757.5,7790.2,7684.1,781,7692.2,
7100.0,7163.0,7055.0,2784,7087.05,
16545.0,16625.0,16460.0,8581,16496.1,
16341.2,16532.4,16312.0,1273,16366.4,
7020.0,7061.95,6913.1,1961,6942.65,
5035.0,5050.0,4993.1,17983,5016.1,
6050.0,6050.0,5962.0,2411,5994.5,
6300.0,6300.0,5555.15,31156,6155.1,
6314.4,6330.05,6200.0,2681,6281.05,
5962.3,6060.0,5962.3,3162,6018.8,
5847.25,5868.0,5807.0,4821,5822.45,
4635.5,4639.75,4601.1,711,4610.95,
5559.9,5572.95,5501.0,1584,5534.55,
15533.0,15855.0,15519.0,1455,15750.4,
6184.95,6190.0,6002.0,3340,6035.7,
4965.0,4995.8,4915.0,1202,4926.35,
4544.9,4544.9,4455.0,1591,4482.65,
14575.0,14575.0,14274.85,3425,14409.45,
16900.1,17061.0,16846.75,5504,16983.2,
19359.6,19510.0,19310.65,5141,19476.15,
5296.0,5342.1,5210.0,1010,5235.5,
7730.0,7730.0,7603.5,2031,7623.8,
6915.0,6990.0,6861.2,2041,6960.5,
4854.1,4854.1,4772.0,2402,4779.4,
4940.55,5094.95,4924.95,2246,4992.65,
17549.95,17840.0,17472.0,7314,17791.35,
5774.55,5849.95,5750.0,779,5827.1,
4949.0,4970.0,4896.6,2487,4943.55,
6762.0,7000.0,6605.0,55777,6831.95,
6430.0,6490.0,6120.0,30497,6140.4,
7880.0,7893.45,7819.95,1735,7827.55,
4470.0,4470.0,4415.0,15250,4435.95,
4470.0,4472.0,4421.0,681,4428.95,
4990.0,5049.0,4952.1,6330,5017.8,
16820.0,16921.65,16641.35,9729,16671.65,
10630.0,10820.0,10568.55,2691,10771.35,
6060.65,6160.9,6047.0,1806,6146.45,
18265.5,18265.5,17865.0,1182,17949.45,
9577.0,9661.9,9471.9,2462,9547.45,
6299.0,6318.9,6249.95,1453,6286.4,
6165.0,6240.0,6131.05,3045,6169.9,
17901.05,18162.85,17826.95,1127,18090.45,
4061.0,4110.1,4060.1,5003,4095.35,
18136.55,18280.65,18136.55,1408,18268.3,
5941.0,6136.85,5901.0,4186,6105.8,
7227.3,7242.4,7175.0,1220,7223.0,
6475.0,6510.3,6431.3,1180,6486.9,
13938.95,13938.95,13629.7,2278,13677.55,
4820.0,4835.0,4770.0,2183,4795.35,
14899.0,14994.0,14490.15,2826,14527.1,
6420.0,6420.0,6320.0,6082,6340.3,
